Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",2020/6/22,12208,1952
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995/3/31,1390777,1784
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009/11/6,1075531,1996
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017/7/7,1701605,2017
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011/4/4,1364742,1988
BLL,Ball,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984/10/31,9389,1880
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York",1957/3/4,14272,1989
BR,Broadridge,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018/6/18,1383312,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010/2/16,1067983,1839
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021/9/20,79282,1939
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995/2/24,885725,1979
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011/12/19,908255,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006/4/3,1037540,1970
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988/5/31,831001,1998
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983/8/31,23217,1919
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997/5/27,721371,1971
CARR,Carrier,Industrials,Building Products,"Palm Beach Gardens, Florida",2020/4/3,1783180,2020 (1915)
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957/3/4,18230,1925
CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010/7/15,896159,1985
CBOE,Cboe,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017/3/1,1374310,1973
CBRE,CBRE,Real Estate,Real Estate Services,"Dallas, Texas",2006/11/10,1138118,1906
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012/3/14,1051470,1994
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998/12/22,815097,1972
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021/9/20,1725057,1992
CDNS,Cadence,Information Technology,Application Software,"San Jose, California",2017/9/18,813672,1988
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019/9/23,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018/12/24,1306830,1918
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2022/2/2,1868275,1999
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010/4/30,804753,1979
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008/8/27,1324404,1946
CFG,Citizens,Financials,Regional Banks,"Providence, Rhode Island",2016/1/29,759944,1828
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015/12/29,313927,1847
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007/3/2,1043277,1905
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016/9/8,1091667,1993
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976/6/30,1739940,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997/12/18,20286,1950
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957/3/4,21665,1806
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969/3/31,21076,1913
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995/12/1,28412,1849
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002/11/19,1166691,1963
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006/8/11,1156375,1848
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011/4/28,1058090,1993
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1965/3/31,26172,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999/5/3,811156,1886
CNC,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",2016/3/30,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985/7/31,1130310,1882
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998/7/1,927628,1994
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",2016/9/23,711404,1958
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957/3/4,1163165,2002
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993/10/1,909832,1976
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957/3/4,16732,1869
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018/7/2,900075,1982
CPT,Camden,Real Estate,Residential REITs,"Houston, Texas",2022/4/4,906345,1981
CRL,Charles River,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021/5/14,1100682,1947
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008/9/15,1108524,1999
