,all_ic
0,-0.0010237960782004244
1,-0.0013099874958716962
2,-0.007851568806475091
3,-0.0033958442164391043
4,-0.0019732185823820815
5,-0.01629533099717947
6,0.01127895011367477
7,0.028067732484055245
8,-0.015014464998513218
9,-0.0056562521117222595
