,all_ic
0,0.009574375267563712
1,0.0014603913398910616
2,0.008935498094019832
3,0.0006370127538165057
4,0.03959984802694906
5,-0.006867659836969841
6,-0.07786641454982143
7,0.023382841744479972
8,-0.015704924176360102
9,0.004620900456067505
