,all_rank_ic
0,-0.0033085033615789182
1,-0.010245444236931403
2,0.003661450453165211
3,-0.009452099737810825
4,0.0009372448253975391
5,0.0006085373370953006
6,0.011992261554426032
7,0.02972412177428162
8,-0.01592211119869393
9,-0.0005104089531756571
