,all_rank_ic
0,-0.016720335711870298
1,0.008246699110775402
2,-0.01715254088182519
3,-0.0019956031501800614
4,0.033572580269688845
5,-0.0025356763513529725
6,-0.09755848554945969
7,0.0021709496955677017
8,0.0004956709797736861
9,0.010324031731281047
